referenceDate,restaurant,dayOfWeek,menu,hour,occupation
2018-03-12,1,4,2,13_3,3
2018-03-12,1,4,2,12_3,3
2018-03-12,1,4,2,13_2,3
2018-03-12,1,4,2,11_3,2
2018-03-12,1,4,2,12_2,3
2018-03-12,1,4,2,13_1,4
2018-03-12,1,4,2,14_0,3
2018-03-12,1,4,2,11_2,1
2018-03-12,1,4,2,12_1,3
2018-03-12,1,4,2,13_0,4
2018-03-12,1,4,2,11_1,1
2018-03-12,1,4,2,12_0,2
2018-03-12,1,4,2,11_0,1
2018-03-12,1,3,5,13_3,3
2018-03-12,1,3,5,12_3,3
2018-03-12,1,3,5,13_2,4
2018-03-12,1,3,5,11_3,2
2018-03-12,1,3,5,12_2,4
2018-03-12,1,3,5,13_1,4
2018-03-12,1,3,5,14_0,3
2018-03-12,1,3,5,11_2,2
2018-03-12,1,3,5,12_1,3
2018-03-12,1,3,5,13_0,4
2018-03-12,1,3,5,11_1,1
2018-03-12,1,3,5,12_0,3
2018-03-12,1,3,5,11_0,1
2018-03-12,1,2,1,13_3,3
2018-03-12,1,2,1,12_3,4
2018-03-12,1,2,1,13_2,3
2018-03-12,1,2,1,11_3,2
2018-03-12,1,2,1,12_2,3
2018-03-12,1,2,1,13_1,3
2018-03-12,1,2,1,14_0,3
2018-03-12,1,2,1,11_2,1
2018-03-12,1,2,1,12_1,3
2018-03-12,1,2,1,13_0,4
2018-03-12,1,2,1,11_1,1
2018-03-12,1,2,1,12_0,2
2018-03-12,1,2,1,11_0,1
2018-03-12,1,1,2,13_3,2
2018-03-12,1,1,2,12_3,2
2018-03-12,1,1,2,13_2,2
2018-03-12,1,1,2,11_3,1
2018-03-12,1,1,2,12_2,2
2018-03-12,1,1,2,13_1,2
2018-03-12,1,1,2,14_0,2
2018-03-12,1,1,2,11_2,1
2018-03-12,1,1,2,12_1,1
2018-03-12,1,1,2,13_0,2
2018-03-12,1,1,2,11_1,1
2018-03-12,1,1,2,12_0,1
2018-03-12,1,1,2,11_0,1
2018-03-12,1,1,5,17_0,1
2018-03-12,1,1,5,18_3,2
2018-03-12,1,1,5,17_3,1
2018-03-12,1,1,5,18_2,1
2018-03-12,1,1,5,17_2,1
2018-03-12,1,1,5,18_1,1
2018-03-12,1,1,5,19_0,2
2018-03-12,1,1,5,17_1,1
2018-03-12,1,1,5,18_0,1
2018-03-12,1,0,3,17_0,1
2018-03-12,1,0,3,18_3,2
2018-03-12,1,0,3,17_3,1
2018-03-12,1,0,3,18_2,2
2018-03-12,1,0,3,17_2,1
2018-03-12,1,0,3,18_1,1
2018-03-12,1,0,3,19_0,2
2018-03-12,1,0,3,17_1,1
2018-03-12,1,0,3,18_0,1
2018-03-12,1,2,5,17_0,1
2018-03-12,1,2,5,18_3,2
2018-03-12,1,2,5,17_3,1
2018-03-12,1,2,5,18_2,2
2018-03-12,1,2,5,17_2,1
2018-03-12,1,2,5,18_1,1
2018-03-12,1,2,5,19_0,2
2018-03-12,1,2,5,17_1,1
2018-03-12,1,2,5,18_0,1
2018-03-12,1,4,5,17_0,1
2018-03-12,1,4,5,18_3,2
2018-03-12,1,4,5,17_3,1
2018-03-12,1,4,5,18_2,2
2018-03-12,1,4,5,17_2,1
2018-03-12,1,4,5,18_1,1
2018-03-12,1,4,5,19_0,2
2018-03-12,1,4,5,17_1,1
2018-03-12,1,4,5,18_0,1
2018-03-12,1,3,6,17_0,1
2018-03-12,1,3,6,18_3,1
2018-03-12,1,3,6,17_3,1
2018-03-12,1,3,6,18_2,1
2018-03-12,1,3,6,17_2,1
2018-03-12,1,3,6,18_1,1
